noise_strength,eve_rate,qber_mean
0.0933,0.3600,0.133090
0.0933,0.3750,0.124421
0.0933,0.3900,0.129686
0.0933,0.4050,0.140124
0.0933,0.4200,0.144805
0.0933,0.4350,0.149644
0.0933,0.4500,0.148431
0.0933,0.4650,0.162918
0.0933,0.4800,0.152945
0.0933,0.4950,0.172244
0.0933,0.5100,0.156582
0.0933,0.5250,0.164187
0.0933,0.5400,0.166477
0.0933,0.5550,0.169719
0.0933,0.5700,0.181131
0.0933,0.5850,0.176288
0.0933,0.6000,0.178451
0.0980,0.0000,0.052594
0.0980,0.0150,0.054981
0.0980,0.0300,0.060900
0.0980,0.0450,0.061419
0.0980,0.0600,0.061454
0.0980,0.0750,0.063799
0.0980,0.0900,0.060928
0.0980,0.1050,0.071441
0.0980,0.1200,0.078589
0.0980,0.1350,0.078577
0.0980,0.1500,0.082034
0.0980,0.1650,0.076167
0.0980,0.1800,0.086162
0.0980,0.1950,0.097323
0.0980,0.2100,0.100020
0.0980,0.2250,0.101538
0.0980,0.2400,0.104571
0.0980,0.2550,0.104660
0.0980,0.2700,0.111448
0.0980,0.2850,0.112544
0.0980,0.3000,0.120034
0.0980,0.3150,0.120500
0.0980,0.3300,0.114941
0.0980,0.3450,0.123881
0.0980,0.3600,0.130344
0.0980,0.3750,0.128725
0.0980,0.3900,0.131399
0.0980,0.4050,0.144452
0.0980,0.4200,0.135712
0.0980,0.4350,0.146622
0.0980,0.4500,0.141687
0.0980,0.4650,0.152696
0.0980,0.4800,0.158563
0.0980,0.4950,0.160536
0.0980,0.5100,0.168186
0.0980,0.5250,0.167275
0.0980,0.5400,0.174958
0.0980,0.5550,0.172450
0.0980,0.5700,0.167369
0.0980,0.5850,0.176573
0.0980,0.6000,0.187879
0.1027,0.0000,0.049822
0.1027,0.0150,0.051720
0.1027,0.0300,0.059187
0.1027,0.0450,0.065627
0.1027,0.0600,0.067400
0.1027,0.0750,0.069467
0.1027,0.0900,0.069124
0.1027,0.1050,0.071421
0.1027,0.1200,0.078648
0.1027,0.1350,0.081022
0.1027,0.1500,0.082445
0.1027,0.1650,0.086562
0.1027,0.1800,0.093209
0.1027,0.1950,0.101776
0.1027,0.2100,0.097592
0.1027,0.2250,0.105084
0.1027,0.2400,0.102271
0.1027,0.2550,0.109218
0.1027,0.2700,0.104831
0.1027,0.2850,0.120591
0.1027,0.3000,0.115648
0.1027,0.3150,0.127248
0.1027,0.3300,0.120093
0.1027,0.3450,0.129660
