noise_strength,eve_rate,qber_mean,iab_mean,iae_mean,skr_mean
0.0450,0.0150,0.041056,0.198447,0.149413,0.054688
0.0450,0.0225,0.050599,0.189773,0.168590,0.038127
0.0450,0.0300,0.057177,0.179821,0.182769,0.016920
0.0450,0.0375,0.051372,0.186887,0.172628,0.027991
0.0450,0.0450,0.061717,0.174542,0.184336,0.019744
0.0450,0.0525,0.067262,0.162950,0.190254,0.012259
0.0450,0.0600,0.071959,0.162394,0.204963,0.001573
0.0450,0.0675,0.073157,0.165108,0.211997,0.002021
0.0450,0.0750,0.084715,0.151791,0.221871,0.002064
0.0450,0.0825,0.080733,0.157975,0.220768,0.000371
0.0450,0.0900,0.086576,0.149683,0.223454,0.002178
0.0450,0.0975,0.084219,0.153377,0.219394,0.000760
0.0450,0.1050,0.089854,0.148555,0.224382,0.005171
0.0450,0.1125,0.099234,0.136755,0.226533,0.003179
0.0450,0.1200,0.089331,0.147845,0.225253,0.007317
0.0450,0.1275,0.092654,0.145870,0.229766,0.002723
0.0450,0.1350,0.097080,0.143194,0.235232,0.000000
0.0450,0.1425,0.112991,0.132871,0.250859,0.000000
0.0450,0.1500,0.100918,0.137372,0.234618,0.000000
0.0450,0.1575,0.108612,0.131863,0.240205,0.000000
0.0450,0.1650,0.116730,0.127850,0.241271,0.001992
0.0450,0.1725,0.110912,0.128059,0.237491,0.000000
0.0450,0.1800,0.124262,0.124668,0.255309,0.000000
0.0450,0.1875,0.132833,0.116060,0.251997,0.000000
0.0450,0.1950,0.136311,0.112649,0.248220,0.000000
0.0450,0.2025,0.127301,0.118284,0.249886,0.000000
0.0450,0.2100,0.136021,0.111674,0.249902,0.000000
0.0450,0.2175,0.152348,0.102446,0.258505,0.000000
0.0450,0.2250,0.154430,0.100217,0.254333,0.000000
0.0450,0.2325,0.150494,0.102327,0.254338,0.000000
0.0450,0.2400,0.152510,0.099973,0.246231,0.000000
0.0450,0.2475,0.159086,0.099791,0.261715,0.000000
0.0450,0.2550,0.156013,0.099543,0.251137,0.000000
0.0450,0.2625,0.176758,0.087999,0.243842,0.000000
0.0450,0.2700,0.166460,0.094584,0.253145,0.000000
0.0450,0.2775,0.157644,0.099488,0.246883,0.000000
0.0450,0.2850,0.156688,0.100376,0.262362,0.000000
0.0450,0.2925,0.162246,0.095685,0.255742,0.000000
0.0450,0.3000,0.199025,0.072572,0.220541,0.000000
0.0500,0.0000,0.047847,0.194673,0.165680,0.039382
0.0500,0.0075,0.051073,0.185022,0.168150,0.030177
0.0500,0.0150,0.058302,0.172074,0.174465,0.019808
0.0500,0.0225,0.061239,0.180871,0.195476,0.015379
0.0500,0.0300,0.059997,0.180153,0.189336,0.019124
0.0500,0.0375,0.063591,0.171921,0.192497,0.011930
0.0500,0.0450,0.060265,0.177793,0.183160,0.021566
0.0500,0.0525,0.074547,0.167913,0.213119,0.009487
0.0500,0.0600,0.078054,0.157800,0.207617,0.005368
0.0500,0.0675,0.081770,0.155486,0.218958,0.000118
0.0500,0.0750,0.079583,0.157790,0.213214,0.005775
0.0500,0.0825,0.086474,0.151732,0.221431,0.001843
0.0500,0.0900,0.085795,0.157440,0.229803,0.005790
0.0500,0.0975,0.088576,0.143864,0.218432,0.001864
0.0500,0.1050,0.108313,0.133734,0.240869,0.000983
0.0500,0.1125,0.096334,0.145493,0.234157,0.000000
0.0500,0.1200,0.091738,0.147666,0.229102,0.000717
0.0500,0.1275,0.108432,0.135302,0.246188,0.000000
0.0500,0.1350,0.105975,0.140894,0.248758,0.000055
0.0500,0.1425,0.107872,0.136293,0.244263,0.000629
